Order_ID,Order_Date,Ship_Date,Shipping_Days,Shipping_Mode,Customer_ID,Customer_Name,Customer_Segment,City,State,Region,Category,Product_Name,Quantity,MRP,Discount_Pct,Selling_Price,Sales,Profit,Profit_Margin_Pct,Payment_Mode,Return_Status
ORD-2024-11374,01-01-2024,08-01-2024,7,Standard,CUST7627,Kiran Nair,Consumer,Delhi,Delhi,North,Home & Kitchen,Air Fryer 4L,4,4572.2,0.13,3977.81,15911.24,3866.43,24.3,Debit Card,Not Returned
ORD-2024-12190,01-01-2024,01-01-2024,0,Same Day,CUST8159,Rohit Sinha,Corporate,Ahmedabad,Gujarat,West,Grocery,Desi Ghee 1L,5,806.78,0.07,750.31,3751.55,262.61,7,Debit Card,Not Returned
ORD-2024-12791,01-01-2024,12-01-2024,11,Economy,CUST6118,Riya Verma,Home Office,Delhi,Delhi,North,Grocery,Whole Wheat Atta 10kg,1,426.86,0.11,379.91,379.91,30.01,7.9,Net Banking,Not Returned
ORD-2024-13354,01-01-2024,01-01-2024,0,Same Day,CUST4716,Deepak Sinha,Home Office,Patna,Bihar,East,Clothing,Women's Kurti,2,1084.29,0.16,910.8,1821.6,422.61,23.2,Credit Card,Not Returned
ORD-2024-14301,01-01-2024,03-01-2024,2,Express,CUST6596,Vikram Tiwari,Home Office,Pune,Maharashtra,West,Grocery,Organic Honey 500g,1,352.09,0.06,330.96,330.96,40.05,12.1,Credit Card,Not Returned
ORD-2024-14552,01-01-2024,03-01-2024,2,Express,CUST1169,Divya Chopra,Home Office,Nagpur,Maharashtra,Central,Home & Kitchen,LED Desk Lamp,5,820.39,0.12,721.94,3609.7,826.62,22.9,UPI,Not Returned
ORD-2024-14564,01-01-2024,04-01-2024,3,Express,CUST8237,Preeti Agarwal,Consumer,Bengaluru,Karnataka,South,Electronics,Portable Charger,1,1299.54,0.14,1117.6,1117.6,102.82,9.2,UPI,Not Returned
ORD-2024-14670,01-01-2024,03-01-2024,2,Express,CUST9126,Pooja Bose,Consumer,Kochi,Kerala,South,Electronics,Portable Charger,3,1759.49,0.14,1513.16,4539.48,558.36,12.3,Credit Card,Not Returned
ORD-2024-10738,02-01-2024,02-01-2024,0,Same Day,CUST4797,Rahul Mehta,Small Business,Delhi,Delhi,North,Electronics,Bluetooth Speaker,2,3048.21,0.12,2682.42,5364.84,745.71,13.9,Credit Card,Not Returned
ORD-2024-11020,02-01-2024,06-01-2024,4,Standard,CUST5903,Neha Pillai,Consumer,Bengaluru,Karnataka,South,Clothing,Kids Frock,1,639.03,0.22,498.44,498.44,91.21,18.3,UPI,Not Returned
ORD-2024-11969,02-01-2024,08-01-2024,6,Standard,CUST7413,Vivek Malhotra,Home Office,Kochi,Kerala,South,Electronics,Portable Charger,1,1992.89,0.13,1733.81,1733.81,171.65,9.9,Credit Card,Not Returned
ORD-2024-12169,02-01-2024,04-01-2024,2,Express,CUST3156,Deepak Iyer,Consumer,Indore,Madhya Pradesh,Central,Electronics,USB-C Hub,3,1476.14,0.1,1328.53,3985.59,406.53,10.2,UPI,Not Returned
ORD-2024-12457,02-01-2024,04-01-2024,2,Express,CUST4074,Manish Bose,Consumer,Noida,Uttar Pradesh,North,Home & Kitchen,Water Purifier Filter,2,1402.02,0.16,1177.7,2355.4,379.22,16.1,Cash on Delivery,Not Returned
ORD-2024-12493,02-01-2024,07-01-2024,5,Standard,CUST5806,Sanjay Chopra,Consumer,Ahmedabad,Gujarat,West,Home & Kitchen,Bedsheet Set King,4,2174.45,0.12,1913.52,7654.08,1783.4,23.3,EMI,Not Returned
ORD-2024-12575,02-01-2024,07-01-2024,5,Standard,CUST1423,Vikram Bose,Home Office,Mumbai,Maharashtra,West,Beauty & Personal Care,Sunscreen SPF 50,5,632.81,0.16,531.56,2657.8,994.02,37.4,Debit Card,Not Returned
ORD-2024-12698,02-01-2024,08-01-2024,6,Standard,CUST7699,Priya Patel,Corporate,Mumbai,Maharashtra,West,Sports & Fitness,Gym Gloves,2,650.35,0.07,604.83,1209.66,371.37,30.7,Cash on Delivery,Returned
ORD-2024-13357,02-01-2024,08-01-2024,6,Standard,CUST4065,Aditya Patel,Corporate,Delhi,Delhi,North,Electronics,USB-C Hub,2,1889.78,0.16,1587.42,3174.84,215.89,6.8,Net Banking,Returned
ORD-2024-13897,02-01-2024,05-01-2024,3,Express,CUST1968,Anjali Pandey,Consumer,Ahmedabad,Gujarat,West,Electronics,Laptop Stand,2,1062.99,0.17,882.28,1764.56,169.4,9.6,Credit Card,Not Returned
ORD-2024-14173,02-01-2024,05-01-2024,3,Express,CUST2195,Sneha Chopra,Corporate,Noida,Uttar Pradesh,North,Clothing,Kids Frock,1,570.41,0.17,473.44,473.44,136.35,28.8,Cash on Delivery,Not Returned
ORD-2024-14655,02-01-2024,02-01-2024,0,Same Day,CUST2374,Sneha Joshi,Home Office,Ahmedabad,Gujarat,West,Clothing,Kids Frock,1,706.12,0.18,579.02,579.02,154.6,26.7,Debit Card,Not Returned
ORD-2024-10337,03-01-2024,14-01-2024,11,Economy,CUST3118,Meena Patel,Home Office,Surat,Gujarat,West,Clothing,Women's Kurti,2,854.06,0.23,657.63,1315.26,227.54,17.3,UPI,Returned
ORD-2024-10551,03-01-2024,08-01-2024,5,Standard,CUST4130,Rahul Nair,Consumer,Delhi,Delhi,North,Grocery,Cold Pressed Olive Oil,1,960.03,0.09,873.63,873.63,55.04,6.3,Debit Card,Not Returned
ORD-2024-11284,03-01-2024,10-01-2024,7,Standard,CUST1252,Meena Agarwal,Consumer,Indore,Madhya Pradesh,Central,Electronics,Wireless Earbuds,1,2301.23,0.09,2094.12,2094.12,353.91,16.9,UPI,Not Returned
ORD-2024-11373,03-01-2024,03-01-2024,0,Same Day,CUST5037,Amit Singh,Consumer,Pune,Maharashtra,West,Electronics,Gaming Mouse,4,2796.14,0.12,2460.6,9842.4,1259.83,12.8,Credit Card,Not Returned
ORD-2024-12799,03-01-2024,08-01-2024,5,Standard,CUST6316,Divya Reddy,Consumer,Noida,Uttar Pradesh,North,Clothing,Hoodie,2,1450.61,0.2,1160.49,2320.98,561.68,24.2,Credit Card,Not Returned
ORD-2024-13662,03-01-2024,08-01-2024,5,Standard,CUST6045,Rahul Rao,Corporate,Chennai,Tamil Nadu,South,Grocery,Premium Green Tea,1,233.71,0.08,215.01,215.01,23.22,10.8,UPI,Not Returned
ORD-2024-13692,03-01-2024,09-01-2024,6,Standard,CUST1898,Sneha Das,Consumer,Ahmedabad,Gujarat,West,Clothing,Sports T-Shirt,5,317.48,0.2,253.98,1269.9,358.11,28.2,UPI,Not Returned
ORD-2024-14653,03-01-2024,04-01-2024,1,Express,CUST1132,Anjali Verma,Small Business,Gurgaon,Haryana,North,Grocery,Cold Pressed Olive Oil,1,700.5,0.06,658.47,658.47,76.38,11.6,Cash on Delivery,Not Returned
